COUNTRY_CODE,SUBNATIONAL1_CODE,SUBNATIONAL2_CODE,SUBNATIONAL2_NAME
US,US-AK,US-AK-013,Aleutians East
US,US-AK,US-AK-016,Aleutians West
US,US-AK,US-AK-020,Anchorage
US,US-AK,US-AK-050,Bethel
US,US-AK,US-AK-060,Bristol Bay
US,US-AK,US-AK-068,Denali
US,US-AK,US-AK-070,Dillingham
US,US-AK,US-AK-090,Fairbanks North Star
US,US-AK,US-AK-100,Haines
US,US-AK,US-AK-110,Juneau
US,US-AK,US-AK-122,Kenai Peninsula
US,US-AK,US-AK-130,Ketchikan Gateway
US,US-AK,US-AK-150,Kodiak Island
US,US-AK,US-AK-164,Lake and Peninsula
US,US-AK,US-AK-170,Matanuska-Susitna
US,US-AK,US-AK-180,Nome
US,US-AK,US-AK-185,North Slope
US,US-AK,US-AK-188,Northwest Arctic
US,US-AK,US-AK-201,Prince of Wales-Outer Ketchikan
US,US-AK,US-AK-220,Sitka
US,US-AK,US-AK-232,Skagway-Hoonah-Angoon
US,US-AK,US-AK-240,Southeast Fairbanks
US,US-AK,US-AK-261,Valdez-Cordova
US,US-AK,US-AK-270,Kusilvak
US,US-AK,US-AK-280,Wrangell-Petersburg
US,US-AK,US-AK-282,Yakutat
US,US-AK,US-AK-290,Yukon-Koyukuk
US,US-AL,US-AL-001,Autauga
US,US-AL,US-AL-003,Baldwin
US,US-AL,US-AL-005,Barbour
US,US-AL,US-AL-007,Bibb
US,US-AL,US-AL-009,Blount
US,US-AL,US-AL-011,Bullock
US,US-AL,US-AL-013,Butler
US,US-AL,US-AL-015,Calhoun
US,US-AL,US-AL-017,Chambers
US,US-AL,US-AL-019,Cherokee
US,US-AL,US-AL-021,Chilton
US,US-AL,US-AL-023,Choctaw
US,US-AL,US-AL-025,Clarke
US,US-AL,US-AL-027,Clay
US,US-AL,US-AL-029,Cleburne
US,US-AL,US-AL-031,Coffee
US,US-AL,US-AL-033,Colbert
US,US-AL,US-AL-035,Conecuh
US,US-AL,US-AL-037,Coosa
US,US-AL,US-AL-039,Covington
US,US-AL,US-AL-041,Crenshaw
US,US-AL,US-AL-043,Cullman
US,US-AL,US-AL-045,Dale
US,US-AL,US-AL-047,Dallas
US,US-AL,US-AL-049,DeKalb
US,US-AL,US-AL-051,Elmore
US,US-AL,US-AL-053,Escambia
US,US-AL,US-AL-055,Etowah
US,US-AL,US-AL-057,Fayette
US,US-AL,US-AL-059,Franklin
US,US-AL,US-AL-061,Geneva
US,US-AL,US-AL-063,Greene
US,US-AL,US-AL-065,Hale
US,US-AL,US-AL-067,Henry
US,US-AL,US-AL-069,Houston
US,US-AL,US-AL-071,Jackson
US,US-AL,US-AL-073,Jefferson
US,US-AL,US-AL-075,Lamar
US,US-AL,US-AL-077,Lauderdale
US,US-AL,US-AL-079,Lawrence
US,US-AL,US-AL-081,Lee
US,US-AL,US-AL-083,Limestone
US,US-AL,US-AL-085,Lowndes
US,US-AL,US-AL-087,Macon
US,US-AL,US-AL-089,Madison
US,US-AL,US-AL-091,Marengo
US,US-AL,US-AL-093,Marion
US,US-AL,US-AL-095,Marshall
US,US-AL,US-AL-097,Mobile
US,US-AL,US-AL-099,Monroe
US,US-AL,US-AL-101,Montgomery
US,US-AL,US-AL-103,Morgan
US,US-AL,US-AL-105,Perry
US,US-AL,US-AL-107,Pickens
US,US-AL,US-AL-109,Pike
US,US-AL,US-AL-111,Randolph
US,US-AL,US-AL-113,Russell
US,US-AL,US-AL-115,St. Clair
US,US-AL,US-AL-117,Shelby
US,US-AL,US-AL-119,Sumter
US,US-AL,US-AL-121,Talladega
US,US-AL,US-AL-123,Tallapoosa
US,US-AL,US-AL-125,Tuscaloosa
US,US-AL,US-AL-127,Walker
US,US-AL,US-AL-129,Washington
US,US-AL,US-AL-131,Wilcox
US,US-AL,US-AL-133,Winston
US,US-AR,US-AR-001,Arkansas
US,US-AR,US-AR-003,Ashley
US,US-AR,US-AR-005,Baxter
US,US-AR,US-AR-007,Benton
US,US-AR,US-AR-009,Boone
US,US-AR,US-AR-011,Bradley
US,US-AR,US-AR-013,Calhoun
US,US-AR,US-AR-015,Carroll
US,US-AR,US-AR-017,Chicot
US,US-AR,US-AR-019,Clark
US,US-AR,US-AR-021,Clay
US,US-AR,US-AR-023,Cleburne
US,US-AR,US-AR-025,Cleveland
US,US-AR,US-AR-027,Columbia
US,US-AR,US-AR-029,Conway
US,US-AR,US-AR-031,Craighead
US,US-AR,US-AR-033,Crawford
US,US-AR,US-AR-035,Crittenden
US,US-AR,US-AR-037,Cross
US,US-AR,US-AR-039,Dallas
US,US-AR,US-AR-041,Desha
US,US-AR,US-AR-043,Drew
US,US-AR,US-AR-045,Faulkner
US,US-AR,US-AR-047,Franklin
US,US-AR,US-AR-049,Fulton
US,US-AR,US-AR-051,Garland
US,US-AR,US-AR-053,Grant
US,US-AR,US-AR-055,Greene
US,US-AR,US-AR-057,Hempstead
US,US-AR,US-AR-059,Hot Spring
US,US-AR,US-AR-061,Howard
US,US-AR,US-AR-063,Independence
US,US-AR,US-AR-065,Izard
US,US-AR,US-AR-067,Jackson
US,US-AR,US-AR-069,Jefferson
US,US-AR,US-AR-071,Johnson
US,US-AR,US-AR-073,Lafayette
US,US-AR,US-AR-075,Lawrence
US,US-AR,US-AR-077,Lee
US,US-AR,US-AR-079,Lincoln
US,US-AR,US-AR-081,Little River
US,US-AR,US-AR-083,Logan
US,US-AR,US-AR-085,Lonoke
US,US-AR,US-AR-087,Madison
US,US-AR,US-AR-089,Marion
US,US-AR,US-AR-091,Miller
US,US-AR,US-AR-093,Mississippi
US,US-AR,US-AR-095,Monroe
US,US-AR,US-AR-097,Montgomery
US,US-AR,US-AR-099,Nevada
US,US-AR,US-AR-101,Newton
US,US-AR,US-AR-103,Ouachita
US,US-AR,US-AR-105,Perry
US,US-AR,US-AR-107,Phillips
US,US-AR,US-AR-109,Pike
US,US-AR,US-AR-111,Poinsett
US,US-AR,US-AR-113,Polk
